A,B,C,D
18,7,B-speech,Presidente
18,7,I-speech,
18,7,I-speech,
18,7,I-speech,
18,7,I-speech,
18,7,I-speech,
18,7,I-speech,
18,7,I-speech,
18,7,I-speech,
18,999,B-footer,
19,0,B-header,
19,0,I-header,
19,1,H-speech,[hidden]
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
19,1,I-speech,
20,0,B-header,
20,0,I-header,
20,0,I-header,
20,0,I-header,
20,1,H-speech,[hidden]
20,2,B-speech,Baccarini
20,2,I-speech,
20,3,B-speech,Romano GD
20,4,B-speech,Baccarini
20,4,I-speech,
20,4,I-speech,
20,4,I-speech,
20,4,I-speech,
20,4,I-speech,
20,4,I-speech,
20,4,I-speech,
20,4,I-speech,
20,4,I-speech,
21,0,B-header,
21,0,I-header,
21,1,H-speech,[hidden]
21,1,I-speech,
21,1,I-speech,
21,1,I-speech,
21,1,I-speech,
21,1,I-speech,
21,1,I-speech,
21,1,I-speech,
21,1,I-speech,
21,1,I-speech,
21,1,I-speech,
21,2,B-speech,Asproni
21,3,B-speech,Ministro per le finanze
21,3,I-speech,
21,4,B-speech,Seismit-Doda
21,5,B-speech,Ministro per le finanze
22,0,B-header,
22,0,I-header,
22,0,I-header,
22,0,I-header,
22,1,H-speech,[hidden]
22,1,I-speech,
22,1,I-speech,
22,1,I-speech,
22,1,I-speech,
22,1,I-speech,
22,1,I-speech,
22,1,I-speech,
22,1,I-speech,
22,1,I-speech,
23,0,B-header,
23,0,I-header,
23,1,H-speech,[hidden]
23,1,I-speech,
23,1,I-speech,
23,1,I-speech,
23,2,B-speech,Il presidente
23,2,I-speech,
23,3,B-speech,Chiò
23,4,U-speech,[unknown] Varie voci
23,5,B-speech,Cagnardi
23,6,B-speech,Il presidente
23,7,B-description,
23,8,N-speech,[inferred] Il presidente
23,9,B-speech,"Cabella, relatore"
23,9,I-speech,
23,9,I-speech,
23,9,I-speech,
23,9,I-speech,
23,9,I-speech,
23,9,I-speech,
23,9,I-speech,
24,0,B-header,
24,0,I-header,
24,1,H-speech,[hidden]
24,1,I-speech,
24,1,I-speech,
24,1,I-speech,
24,1,I-speech,
24,1,I-speech,
24,1,I-speech,
24,1,I-speech,
24,2,B-text,
24,3,H-speech,[hidden]
24,3,I-speech,
24,3,I-speech,
24,3,I-speech,
24,3,I-speech,
25,0,B-header,
25,0,I-header,
25,0,I-header,
25,0,I-header,
25,1,H-speech,[hidden]
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
25,1,I-speech,
26,0,B-header,
26,0,I-header,
26,0,I-header,
26,0,I-header,
26,1,H-speech,[hidden]
26,2,B-speech,Senatore AMARI
26,3,B-speech,Presidente
26,4,B-speech,Senatore AMARI
26,4,I-speech,
26,4,I-speech,
26,4,I-speech,
26,5,B-speech,MINISTRO DELLA MARINA
26,6,B-speech,Presidente
26,7,B-speech,MINISTRO DELLA MARINA
26,7,I-speech,
26,7,I-speech,
26,8,B-speech,Presidente
26,9,B-speech,Senatore Brioschi
26,9,I-speech,
26,10,B-speech,Presidente
26,10,I-speech,
26,11,B-article,
26,11,B-speech,Senatore AMARI
26,12,B-speech,Presidente
26,13,B-speech,Senatore AMARI
26,14,B-speech,Senatore Brioschi
26,15,B-speech,Presidente
26,16,B-speech,Senatore Brioschi
26,17,B-speech,Presidente
27,0,B-header,
27,0,I-header,
27,0,I-header,
27,0,I-header,
27,1,B-speech,Baccelli
27,2,B-speech,Presidente
27,3,B-title,
27,4,B-speech,Presidente
27,4,I-speech,
27,4,I-speech,
27,4,I-speech,
27,4,I-speech,
27,5,B-title,
27,6,B-speech,Presidente
27,6,I-speech,
27,6,I-speech,
27,6,I-speech,
27,7,B-description,
27,8,B-title,
27,9,B-speech,Presidente
27,10,B-speechnotext,"Sili, segretario"
27,11,B-text,D'Andrea
27,11,I-text,
27,11,I-text,
27,12,B-title,
27,13,N-speechnotext,"[inferred] Sili, segretario"
27,14,B-text,"Cagnetta, Manna, Cannavina, Pozzo, Libertini, Di Sant'Onofrio, Sinibaldi, Pagliano."
27,14,I-text,
27,15,B-other,
27,15,I-other,
27,15,I-other,
27,15,I-other,
27,15,I-other,
27,15,I-other,
27,15,I-other,
27,15,I-other,
28,0,B-header,
28,0,I-header,
28,1,H-speech,[hidden]
28,1,I-speech,
28,1,I-speech,
28,1,I-speech,
28,1,I-speech,
28,1,I-speech,
28,1,I-speech,
28,1,I-speech,
28,1,I-speech,
28,1,I-speech,
28,1,I-speech,
28,1,I-speech,
28,2,B-speech,Presidente
28,3,B-speech,Senatore Musio
28,3,I-speech,
28,3,I-speech,
28,4,B-speech,Senatore Mameli
28,5,B-speech,Senatore Musio
28,6,B-speech,Presidente
28,7,B-speech,Senatore Musio
28,999,B-footer,
28,999,I-footer,
29,0,B-header,
29,0,I-header,
29,0,I-header,
29,0,I-header,
29,1,H-speech,[hidden]
29,2,B-speech,Presidente
29,3,B-speech,Cottafavi
29,3,I-speech,
29,3,I-speech,
29,3,I-speech,
29,3,I-speech,
29,3,I-speech,
29,3,I-speech,
29,4,B-speech,Presidente
29,5,B-speech,"Facta, sottosegretario di Stato per la grazia e giustizia"
29,5,I-speech,
29,5,I-speech,
29,5,I-speech,
29,6,B-speech,Cottafavi
29,7,B-speech,"Facta, sottosegretario di Stato per la grazia e giustizia"
29,7,I-speech,
29,7,I-speech,
29,8,B-speech,Cottafavi
29,9,B-speech,Presidente
29,9,I-speech,
29,10,B-description,
30,0,B-header,
30,0,I-header,
30,0,I-header,
30,0,I-header,
30,1,H-speech,[hidden]
30,1,I-speech,
30,1,I-speech,
30,1,I-speech,
30,1,I-speech,
30,1,I-speech,
30,1,I-speech,
30,1,I-speech,
30,1,I-speech,
30,1,I-speech,
30,2,B-speech,Presidente
30,3,B-speech,Ruggieri Ernesto
30,3,I-speech,
30,3,I-speech,
30,3,I-speech,
30,3,I-speech,
30,999,B-footer,
31,0,B-header,
31,0,I-header,
31,0,I-header,
31,0,I-header,
31,1,B-text,Conti
31,1,I-text,
31,2,B-speech,Presidente
31,3,B-title,
31,4,B-speech,Presidente
31,4,I-speech,
31,5,B-description,
31,6,B-description,
31,7,B-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,7,I-other,
31,8,B-description,
31,9,B-other,
31,9,I-other,
31,9,I-other,
31,9,I-other,
31,9,I-other,
31,9,I-other,
31,9,I-other,
31,9,I-other,
31,9,I-other,
31,9,I-other,
31,9,I-other,
31,9,I-other,
32,0,B-header,
32,0,I-header,
32,0,I-header,
32,0,I-header,
32,1,H-speech,[hidden]
32,1,I-speech,
32,1,I-speech,
32,2,B-speech,MODIGLIANI
32,3,B-speech,"ORLANDO V. E., presidente del Consiglio, ministro dell'interno."
32,4,B-speech,Graziadei
32,5,B-speech,"ORLANDO V. E., presidente del Consiglio, ministro dell'interno."
32,5,I-speech,
32,6,B-speech,MODIGLIANI
32,7,B-speech,"ORLANDO V. E., presidente del Consiglio, ministro dell'interno."
32,8,B-speech,Graziadei
32,9,B-speech,Drago
32,10,B-speech,Ciccotti
32,11,B-speech,Graziadei
32,12,B-speech,Ciccotti
32,13,B-speech,Graziadei
32,14,B-speech,"ORLANDO V. E., presidente del Consiglio, ministro dell'interno."
32,14,I-speech,
32,14,I-speech,
33,0,B-header,
33,0,I-header,
33,0,I-header,
33,0,I-header,
33,1,H-speech,[hidden]
33,2,U-speech,[unknown] Voci
33,3,B-speech,GALLO
33,4,B-speech,Presidente
33,5,B-speech,GALLO
33,5,I-speech,
33,6,U-speech,[unknown] Voce
33,7,B-speech,GALLO
33,8,B-speech,Presidente
33,9,B-speech,Bertolini
33,9,I-speech,
33,10,B-speech,Presidente
33,11,B-speech,Bertolini
33,11,I-speech,
33,11,I-speech,
34,0,B-header,
34,0,I-header,
34,0,I-header,
34,0,I-header,
34,1,B-other,
35,0,B-header,
35,0,I-header,
35,1,H-speech,[hidden]
35,1,I-speech,
35,2,B-speech,Cortese
35,3,B-speech,Massari 
35,3,I-speech,
35,3,I-speech,
35,3,I-speech,
35,3,I-speech,
35,3,I-speech,
35,4,B-speech,Castagnola
35,5,B-speech,Mazziotti
35,6,B-speech,Castagnola 
35,6,I-speech,
35,6,I-speech,
35,6,I-speech,
35,6,I-speech,
36,0,B-header,
36,0,I-header,
36,0,I-header,
36,0,I-header,
36,1,H-speech,[hidden]
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,1,I-speech,
36,2,B-speech,"BRIN, ministro della marina"
36,3,B-speech,Senatore DE SAINT-BON
36,4,B-speech,Presidente
36,5,B-speech,Senatore DE SAINT-BON
36,6,B-speech,"BRIN, ministro della marina"
36,7,B-speech,Presidente
37,0,B-header,
37,0,I-header,
37,0,I-header,
37,0,I-header,
37,1,H-speech,[hidden]
37,2,B-speech,Saporito
37,3,B-speech,"Finocchiaro-Aprile, ministro di grazia e giustizia"
37,3,I-speech,
37,4,B-speech,Saporito
37,5,B-speech,"Finocchiaro-Aprile, ministro di grazia e giustizia"
37,5,I-speech,
37,6,B-speech,Presidente
37,7,B-speech,"Vendramini, relatore"
37,7,I-speech,
37,7,I-speech,
37,8,U-speech,[unknown] Voci
37,9,B-speech,Vendramini
37,10,B-speech,Presidente
37,11,B-text,
37,12,N-speech,[inferred] presidente
37,13,B-description,
37,14,B-article,
37,14,I-article,
37,14,I-article,
37,14,I-article,
37,14,I-article,
38,0,B-header,
38,0,I-header,
38,1,H-speech,[hidden]
38,1,I-speech,
38,1,I-speech,
38,1,I-speech,
38,1,I-speech,
38,1,I-speech,
38,2,B-speech,Boggio
38,2,I-speech,
38,2,I-speech,
38,2,I-speech,
38,2,I-speech,
38,3,U-speech,[unknown] Una voce
38,4,B-speech,Gallenga
38,5,B-speech,Boggio
38,6,B-speech,Gallenga
38,7,U-speech,[unknown] Voci
38,8,B-speech,Boggio
38,9,B-speech,Bonghi
38,10,B-speech,Boggio
38,11,U-speech,[unknown] Voci a destra
38,12,B-speech,Bonghi
38,13,B-speech,Boggio
38,13,I-speech,
39,0,B-header,
39,0,I-header,
39,0,I-header,
39,0,I-header,
39,1,B-title,
39,2,B-other,
39,2,I-other,
39,2,I-other,
39,2,I-other,
39,2,I-other,
39,2,I-other,
39,2,I-other,
39,2,I-other,
39,2,I-other,
39,3,B-title,
39,4,B-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
39,4,I-other,
40,0,B-header,
40,0,I-header,
40,1,H-speech,[hidden]
40,2,U-speech,[unknown] Varie voci
40,3,B-speech,Presidente
40,3,I-speech,
40,4,B-description,
40,5,N-speech,[inferred] presidente
40,6,B-title,
40,7,B-speech,presidente
40,8,B-description,
40,999,B-footer,
41,0,B-header,
41,0,I-header,
41,1,B-title,
41,2,B-presidencydeclaration,Presidenza del presidente commendatore Mari
41,3,B-other,
41,4,B-description,
41,5,B-speechnotext,"Gravina, segretario"
41,6,B-speechnotext,"Massari G, segretario"
41,6,I-speechnotext,
41,6,I-speechnotext,
41,6,I-speechnotext,
41,6,I-speechnotext,
41,6,I-speechnotext,
41,6,I-speechnotext,
41,6,I-speechnotext,
41,7,B-title,
41,8,B-speech,"Gravina, segretario"
41,8,I-speech,
41,8,I-speech,
42,0,B-header,
42,0,I-header,
42,0,I-header,
42,1,H-speech,[hidden]
42,1,I-speech,
42,2,B-speech,"MARAZZA, Sottosegretario di Stato per l'interno."
42,2,I-speech,
42,2,I-speech,
42,2,I-speech,
42,3,B-speech,Presidente
42,4,B-speech,Benedettini
42,4,I-speech,
42,4,I-speech,
42,4,I-speech,
42,4,I-speech,
42,4,I-speech,
42,5,B-speech,presidente
42,6,B-speech,Benedettini
42,6,I-speech,
42,6,I-speech,
43,0,B-header,
43,0,I-header,
43,0,I-header,
43,0,I-header,
43,1,H-speech,[hidden]
43,1,I-speech,
43,1,I-speech,
43,1,I-speech,
43,1,I-speech,
43,1,I-speech,
43,1,I-speech,
43,1,I-speech,
43,1,I-speech,
43,2,B-speech,"FEDELE, ministro della pubblica istruzione"
43,3,B-speech,"Mango, relatore"
43,999,B-footer,
44,0,B-header,
44,0,I-header,
44,0,I-header,
44,0,I-header,
44,1,H-speech,[hidden]
44,1,I-speech,
44,1,I-speech,
44,2,B-speech,presidente
44,3,B-speech,"TEDESCO, ministro dei lavori pubblici"
44,4,B-speech,presidente
44,5,B-speech,Ghigi
44,6,B-speech,Presidente
44,7,B-text,Ghigi
44,8,B-text,Marescalchi Alfonso
44,9,B-text,Gatti
44,10,N-speech,[Inferred] Presidente
44,11,B-speech,Ghigi
45,0,B-header,
45,0,I-header,
45,0,I-header,
45,0,I-header,
45,1,H-speech,[hidden]
45,1,I-speech,
45,2,B-title,
45,3,B-speech,Presidente
45,4,B-speechnotext,Bignami segretario
45,5,B-text,Saraceni
45,5,I-text,
45,6,B-text,Sandulli
45,6,I-text,
45,7,B-text,Tasca
45,7,I-text,
45,8,B-text,Agnelli
45,8,I-text,
45,9,B-text,Mazzoni
45,9,I-text,
45,10,B-text,Mazzoni
45,10,I-text,
45,11,B-text,Appiani
45,11,I-text,
45,12,B-text,Tasca
45,12,I-text,
45,13,B-text,Marangoni
45,13,I-text,
45,14,B-text,Albanese
45,14,I-text,
45,15,H-text,[hidden]
45,15,I-text,
46,0,B-header,
46,0,I-header,
46,0,I-header,
46,0,I-header,
46,1,B-title,
46,2,B-presidencydeclaration,Presidenza del Presidente Farini
46,3,B-other,
46,4,B-description,
46,6,B-title,
46,7,B-speech,Presidente
46,8,B-text,Il sindaco: Barbieri
46,8,I-text,
46,8,I-text,
46,8,I-text,
46,8,I-text,
46,8,I-text,
46,9,N-speech,[inferred] Presidente
46,9,I-speech,
46,10,B-description,
46,11,N-speech,[inferred] Presidente
46,12,B-speech,Favale
46,13,B-speech,Presidente
46,14,B-speech,Favale
46,15,U-speech,[unknown] Voci
46,999,B-footer,
47,0,B-header,
47,0,I-header,
47,0,I-header,
47,0,I-header,
47,1,H-speech,[hidden]
47,1,I-speech,
47,1,I-speech,
47,1,I-speech,
47,1,I-speech,
47,1,I-speech,
47,1,I-speech,
47,1,I-speech,
47,1,I-speech,
47,1,I-speech,
47,1,I-speech,
47,2,B-speech,Presidente
47,3,U-speech,[unknown] Voci
47,4,B-speech,Pullé
47,5,B-speech,Rolandi Ricci
47,6,B-speech,Presidente
47,7,U-speech,[unknown] Voci
47,8,B-speech,Rolandi Ricci
47,8,I-speech,
47,8,I-speech,
47,8,I-speech,
47,999,B-footer,
47,999,I-footer,
48,0,B-header,
48,0,I-header,
48,0,I-header,
48,0,I-header,
48,1,B-article,
48,2,B-article,
48,2,I-article,
48,2,I-article,
48,2,I-article,
48,3,B-article,
48,3,I-article,
48,4,B-article,
48,4,I-article,
48,4,I-article,
48,5,B-article,
48,5,I-article,
48,6,B-article,
48,6,I-article,
48,6,I-article,
48,6,I-article,
49,0,B-header,
49,0,I-header,
49,0,I-header,
49,0,I-header,
49,1,H-speech,[hidden]
49,1,I-speech,
49,1,I-speech,
49,2,B-speech,"Mazza, relatore"
49,3,B-speech,"Giolitti, ministro dell'interno"
49,3,I-speech,
49,3,I-speech,
49,3,I-speech,
49,3,I-speech,
49,3,I-speech,
49,3,I-speech,
49,3,I-speech,
49,3,I-speech,
49,3,I-speech,
49,3,I-speech,
50,0,B-header,
50,0,I-header,
50,0,I-header,
50,0,I-header,
50,1,B-text,
50,2,H-speech,[hidden]
50,3,B-speech,Senatore Calenda Vincenzo
50,3,I-speech,
50,3,I-speech,
50,4,B-speech,Senatore PERAZZI
50,5,B-speech,Presidente
50,6,B-speech,Senatore PERAZZI
50,6,I-speech,
50,6,I-speech,
50,7,B-speech,"GRIMALDI, ministro del Tesoro."
50,8,B-text,
50,9,B-speech,Senatore FINALI
50,10,B-speech,Presidente
50,11,B-speech,Senatore FINALI
50,11,I-speech,
50,11,I-speech,
50,12,B-speech,Presidente
50,12,I-speech,
50,13,B-speech,Senatore PERAZZI
50,14,B-speech,Presidente
50,15,B-description,
50,16,N-speech,[inferred] presidente
50,16,I-speech,
50,16,I-speech,
50,17,B-speech,Senatore PERAZZI
50,18,B-speech,Presidente
50,18,I-speech,
50,19,B-description,
50,20,N-speech,[inferred] presidente
50,21,B-article,
50,21,I-article,
51,0,B-header,
51,0,I-header,
51,0,I-header,
51,0,I-header,
51,1,H-speech,[hidden]
51,1,I-speech,
51,2,B-speech,Presidente
51,3,B-speech,Merizzi
51,3,I-speech,
51,3,I-speech,
51,3,I-speech,
51,3,I-speech,
51,3,I-speech,
51,3,I-speech,
51,3,I-speech,
51,3,I-speech,
51,3,I-speech,
51,3,I-speech,
51,3,I-speech,
52,0,B-header,
52,0,I-header,
52,0,I-header,
52,0,I-header,
52,1,H-speech,[hidden]
52,1,I-speech,
52,1,I-speech,
52,1,I-speech,
52,1,I-speech,
52,1,I-speech,
52,1,I-speech,
52,1,I-speech,
52,2,B-speech,"ACERBO, ministro dell'agricoltura e delle foreste"
52,3,B-speech,POGGI TITO
52,4,B-speech,"RAINERI, relatore"
52,5,B-speech,POGGI TITO
52,6,B-speech,"ACERBO, ministro dell'agricoltura e delle foreste"
52,7,B-speech,POGGI TITO
53,0,B-header,
53,0,I-header,
53,0,I-header,
53,0,I-header,
53,1,H-speech,[hidden]
53,2,B-text,
53,3,B-speechnotext,Zuccarini
53,4,B-speechnotext,Nobile
53,5,B-speechnotext,Presidente
53,6,B-speechnotext,Zuccarini
53,6,I-speechnotext,
53,7,B-speechnotext,"La Rocca, relatore"
53,8,B-speechnotext,Zuccarini
53,9,B-speechnotext,"La Rocca, relatore"
53,10,B-speechnotext,Presidente
53,11,B-speechnotext,Mortati
54,0,B-header,
54,0,I-header,
54,0,I-header,
54,1,H-speech,[hidden]
54,1,I-speech,
