"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"dataInizioMandato"	"dataFineMandato"
"http://dati.camera.it/ocd/persona.rdf/p40"	"MICHELE"	"ACHILLI"	"19310722"	"20230804"	"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p301314"	"MODESTINO"	"ACONE"			"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p34950"	"LORENZO"	"ACQUARONE"	"19310225"	"20200324"	"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p34950"	"LORENZO"	"ACQUARONE"	"19310225"	"20200324"	"19920405"	"19940414"
"http://dati.camera.it/ocd/persona.rdf/pr9014"	"PIETRO"	"ACQUARONE (D')"	"18900409"	"19480213"	"19340123"	""
"http://dati.camera.it/ocd/persona.rdf/p200004"	"GENNARO"	"ACQUAVIVA"			"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p200004"	"GENNARO"	"ACQUAVIVA"			"19920405"	"19940414"
"http://dati.camera.it/ocd/persona.rdf/pr14"	"CARLO"	"ACQUAVIVA D'ARAGONA"	"18231226"	"18921214"	"18901204"	"18921214"
"http://dati.camera.it/ocd/persona.rdf/pr11301"	"LUIGI"	"ACQUAVIVA D'ARAGONA"	"18121220"	"18980929"	"18610120"	"18980929"
"http://dati.camera.it/ocd/persona.rdf/p304482"	"MARIO"	"ACTIS-PERINETTI"			"19670531"	"19680604"
"http://dati.camera.it/ocd/persona.rdf/pr9017"	"ALFREDO"	"ACTON"	"18670912"	"19340326"	"19271218"	"19340326"
"http://dati.camera.it/ocd/persona.rdf/pr16"	"FERDINANDO"	"ACTON"	"18320716"	"18910218"	"18800111"	"18910218"
"http://dati.camera.it/ocd/persona.rdf/pr17"	"GUGLIELMO"	"ACTON"	"18250325"	"18961129"	"18711115"	"18961129"
"http://dati.camera.it/ocd/persona.rdf/p303020"	"MARILENA"	"ADAMO"			"20080423"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/p17680"	"GELASIO"	"ADAMOLI"	"19070330"	"19780730"	"19630506"	"19680604"
"http://dati.camera.it/ocd/persona.rdf/p17680"	"GELASIO"	"ADAMOLI"	"19070330"	"19780730"	"19680527"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/p17680"	"GELASIO"	"ADAMOLI"	"19070330"	"19780730"	"19720517"	"19760704"
"http://dati.camera.it/ocd/persona.rdf/pr20"	"GIULIO"	"ADAMOLI"	"18400229"	"19261225"	"18981117"	"19261225"
"http://dati.camera.it/ocd/persona.rdf/p300429"	"SALVATORE"	"ADDUCE"	"19550214"		"20061025"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/p303021"	"IRENE"	"ADERENTI"			"20080429"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/pr9018"	"MICHELE"	"ADINOLFI"	"18760909"	"19590316"	"19390422"	""
"http://dati.camera.it/ocd/persona.rdf/p300781"	"PIETRO"	"ADINOLFI"			"19480508"	"19530624"
"http://dati.camera.it/ocd/persona.rdf/p302180"	"BENEDETTO"	"ADRAGNA"			"20060421"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/p302180"	"BENEDETTO"	"ADRAGNA"			"20080425"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/pr24"	"GIOVANNI BATTISTA"	"AGLIARDI"	"18271111"	"18960201"	"18901204"	"18960201"
"http://dati.camera.it/ocd/persona.rdf/p200005"	"ARDUINO"	"AGNELLI"			"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p200005"	"ARDUINO"	"AGNELLI"			"19920405"	"19940414"
"http://dati.camera.it/ocd/persona.rdf/p200008"	"GIOVANNI"	"AGNELLI"			"19910601"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p200008"	"GIOVANNI"	"AGNELLI"			"19920423"	"19940414"
"http://dati.camera.it/ocd/persona.rdf/p200008"	"GIOVANNI"	"AGNELLI"			"19940415"	"19960508"
"http://dati.camera.it/ocd/persona.rdf/p200008"	"GIOVANNI"	"AGNELLI"			"19960509"	"20010529"
"http://dati.camera.it/ocd/persona.rdf/p200008"	"GIOVANNI"	"AGNELLI"			"20010530"	"20030124"
"http://dati.camera.it/ocd/persona.rdf/pr9019"	"GIOVANNI"	"AGNELLI"	"18660813"	"19451216"	"19230301"	"19451216"
"http://dati.camera.it/ocd/persona.rdf/p300003"	"SUSANNA"	"AGNELLI"	"19220424"	"20090515"	"19830712"	"19870701"
"http://dati.camera.it/ocd/persona.rdf/p300003"	"SUSANNA"	"AGNELLI"	"19220424"	"20090515"	"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p304182"	"UMBERTO"	"AGNELLI"			"19760630"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/pr27"	"ALBERTO"	"AGNETTI"	"18570910"	"19270527"	"19131016"	"19270527"
"http://dati.camera.it/ocd/persona.rdf/pr9020"	"PIETRO"	"AGO"	"18721120"	"19660104"	"19331030"	""
"http://dati.camera.it/ocd/persona.rdf/p300492"	"ANTONIO"	"AGOGLIATI"			"20010516"	"20060427"
"http://dati.camera.it/ocd/persona.rdf/p300493"	"SERGIO"	"AGONI"			"20010517"	"20060427"
"http://dati.camera.it/ocd/persona.rdf/p305782"	"DONATELLA"	"AGOSTINELLI"	"19740403"		""	""
"http://dati.camera.it/ocd/persona.rdf/pr9021"	"CESARE"	"AGOSTINI"	"18641015"	"19420827"	"19390613"	"19420827"
"http://dati.camera.it/ocd/persona.rdf/p200009"	"GERARDO"	"AGOSTINI"			"19960427"	"20010529"
"http://dati.camera.it/ocd/persona.rdf/p34980"	"MAURO"	"AGOSTINI"	"19520228"		"20080422"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/p303604"	"ROCCO VINCENZO"	"AGOSTINO"			"19530613"	"19580611"
"http://dati.camera.it/ocd/persona.rdf/p17690"	"ALESSANDRO"	"AGRIMI"	"19230129"	"19990110"	"19630508"	"19680604"
"http://dati.camera.it/ocd/persona.rdf/p17690"	"ALESSANDRO"	"AGRIMI"	"19230129"	"19990110"	"19720518"	"19760704"
"http://dati.camera.it/ocd/persona.rdf/p17690"	"ALESSANDRO"	"AGRIMI"	"19230129"	"19990110"	"19760702"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p17690"	"ALESSANDRO"	"AGRIMI"	"19230129"	"19990110"	"19790620"	"19830711"
"http://dati.camera.it/ocd/persona.rdf/pr35"	"FRANCESCO"	"AGUGLIA"	"18520109"	"19210414"	"19191006"	"19210414"
"http://dati.camera.it/ocd/persona.rdf/p306320"	"PIETRO"	"AIELLO"			""	""
"http://dati.camera.it/ocd/persona.rdf/p307742"	"ENRICO"	"AIMI"			""	""
"http://dati.camera.it/ocd/persona.rdf/p300899"	"TEODOSIO"	"AIMONI"			"19580601"	"19590407"
"http://dati.camera.it/ocd/persona.rdf/p300899"	"TEODOSIO"	"AIMONI"			"19630505"	"19680604"
"http://dati.camera.it/ocd/persona.rdf/p300899"	"TEODOSIO"	"AIMONI"			"19680527"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/pr36"	"GIUSEPPE CARLO"	"AIRENTI"	"18210613"	"18820824"	"18760228"	"18820824"
"http://dati.camera.it/ocd/persona.rdf/p306321"	"ALBERTO"	"AIROLA"			""	""
"http://dati.camera.it/ocd/persona.rdf/p20510"	"ALDO"	"AJELLO"	"19360115"		"19760705"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p300900"	"TOMASO"	"AJROLDI"			"19630505"	"19680604"
"http://dati.camera.it/ocd/persona.rdf/pr9023"	"CESARE"	"ALAGGIA"	"18410429"	"19080830"	"19080603"	"19080830"
"http://dati.camera.it/ocd/persona.rdf/p300985"	"GIAN MARIO"	"ALBANI"			"19680527"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/p306322"	"DONATELLA"	"ALBANO"			""	""
"http://dati.camera.it/ocd/persona.rdf/p17710"	"ADELIO"	"ALBARELLO"	"19180118"	"19851118"	"19630505"	"19680604"
"http://dati.camera.it/ocd/persona.rdf/p17710"	"ADELIO"	"ALBARELLO"	"19180118"	"19851118"	"19680525"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/p17710"	"ADELIO"	"ALBARELLO"	"19180118"	"19851118"	"19720514"	"19760704"
"http://dati.camera.it/ocd/persona.rdf/p6320"	"GIUSEPPE"	"ALBERGANTI"	"18980724"	"19801103"	"19480424"	"19530624"
"http://dati.camera.it/ocd/persona.rdf/p6320"	"GIUSEPPE"	"ALBERGANTI"	"18980724"	"19801103"	"19530613"	"19580611"
"http://dati.camera.it/ocd/persona.rdf/p200011"	"AURELIANA"	"ALBERICI"			"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p200011"	"AURELIANA"	"ALBERICI"			"19920405"	"19940414"
"http://dati.camera.it/ocd/persona.rdf/p200011"	"AURELIANA"	"ALBERICI"			"19940415"	"19960508"
"http://dati.camera.it/ocd/persona.rdf/pr9024"	"PIETRO"	"ALBERICI"	"18701103"	"19330721"	"19281222"	"19330721"
"http://dati.camera.it/ocd/persona.rdf/pr9025"	"ADRIANO"	"ALBERTI"	"18700212"	"19551109"	"19390325"	"19450731"
"http://dati.camera.it/ocd/persona.rdf/p25700"	"ANTONIO"	"ALBERTI"	"18830515"	"19560801"	"19480424"	"19530624"
"http://dati.camera.it/ocd/persona.rdf/p301072"	"ANTONIO"	"ALBERTI"			"19830712"	"19870701"
"http://dati.camera.it/ocd/persona.rdf/p301072"	"ANTONIO"	"ALBERTI"			"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p27140"	"GIUSEPPE"	"ALBERTI"	"19020304"	"19740512"	"19480423"	"19530624"
"http://dati.camera.it/ocd/persona.rdf/p27140"	"GIUSEPPE"	"ALBERTI"	"19020304"	"19740512"	"19530611"	"19580611"
"http://dati.camera.it/ocd/persona.rdf/p27140"	"GIUSEPPE"	"ALBERTI"	"19020304"	"19740512"	"19580531"	"19630515"
"http://dati.camera.it/ocd/persona.rdf/p27140"	"GIUSEPPE"	"ALBERTI"	"19020304"	"19740512"	"19630505"	"19680604"
"http://dati.camera.it/ocd/persona.rdf/p200012"	"MARIA ELISABETTA"	"ALBERTI"			""	""
"http://dati.camera.it/ocd/persona.rdf/p200012"	"MARIA ELISABETTA"	"ALBERTI"			"19940415"	"19960508"
"http://dati.camera.it/ocd/persona.rdf/p200012"	"MARIA ELISABETTA"	"ALBERTI"			"20010517"	"20060427"
"http://dati.camera.it/ocd/persona.rdf/p200012"	"MARIA ELISABETTA"	"ALBERTI"			"20060418"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/p200012"	"MARIA ELISABETTA"	"ALBERTI"			"20080422"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/p200012"	"MARIA ELISABETTA"	"ALBERTI"			"20130306"	"20140925"
"http://dati.camera.it/ocd/persona.rdf/pr9026"	"ANTONIO"	"ALBERTINI"	"18720918"	"19660105"	"19391020"	"19450830"
"http://dati.camera.it/ocd/persona.rdf/p17720"	"FRANCESCO"	"ALBERTINI"	"19061230"	"19961217"	"19680525"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/p17720"	"FRANCESCO"	"ALBERTINI"	"19061230"	"19961217"	"19720516"	"19760704"
"http://dati.camera.it/ocd/persona.rdf/p17720"	"FRANCESCO"	"ALBERTINI"	"19061230"	"19961217"	"19760705"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p306323"	"GABRIELE"	"ALBERTINI"			""	""
"http://dati.camera.it/ocd/persona.rdf/pr9027"	"LUIGI"	"ALBERTINI"	"18711019"	"19411229"	"19141230"	"19411229"
"http://dati.camera.it/ocd/persona.rdf/p32110"	"RENATO"	"ALBERTINI"	"19280915"	"20060703"	"19960427"	"20010529"
"http://dati.camera.it/ocd/persona.rdf/pr44"	"PIETRO"	"ALBERTONI"	"18490922"	"19331108"	"19120317"	"19331108"
"http://dati.camera.it/ocd/persona.rdf/pr45"	"ALESSANDRO"	"ALBICINI"	"18620714"	"19410129"	"19290121"	"19410129"
"http://dati.camera.it/ocd/persona.rdf/pr47"	"AUGUSTO"	"ALBINI"	"18300730"	"19090603"	"18911120"	"19090603"
"http://dati.camera.it/ocd/persona.rdf/pr11200"	"GIUSEPPE"	"ALBINI"	"18630122"	"19331207"	"19240918"	"19331207"
"http://dati.camera.it/ocd/persona.rdf/pr9028"	"GIUSEPPE"	"ALBINI"	"17800920"	"18590731"	"18480403"	"18590731"
"http://dati.camera.it/ocd/persona.rdf/p302181"	"MARTINO"	"ALBONETTI"			"20060418"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/pr9030"	"ALBERICO"	"ALBRICCI"	"18641206"	"19360402"	"19190731"	"19360402"
"http://dati.camera.it/ocd/persona.rdf/p303940"	"LEA"	"ALCIDI BOCCACCI REZZA"			"19630505"	"19680604"
"http://dati.camera.it/ocd/persona.rdf/p307743"	"FRANCESCA"	"ALDERISI"			""	""
"http://dati.camera.it/ocd/persona.rdf/pr4491"	"GINO"	"ALDI MAI"	"18770807"	"19401124"	"19340301"	"19401124"
"http://dati.camera.it/ocd/persona.rdf/p25290"	"SALVATORE"	"ALDISIO"	"18901229"	"19640727"	"19480424"	"19530624"
"http://dati.camera.it/ocd/persona.rdf/pr9031"	"LUIGI"	"ALDROVANDI MARESCOTTI"	"18761005"	"19450709"	"19390424"	"19441021"
"http://dati.camera.it/ocd/persona.rdf/pr859"	"ALEARDO (GAETANO MARIA)"	"ALEARDI"	"18121104"	"18780717"	"18731106"	"18780717"
"http://dati.camera.it/ocd/persona.rdf/pr9032"	"ROBERTO"	"ALESSANDRI"	"18671201"	"19480808"	"19390613"	"19441030"
"http://dati.camera.it/ocd/persona.rdf/pr9033"	"GIULIO"	"ALESSANDRINI"	"18660525"	"19540413"	"19390613"	"19451114"
"http://dati.camera.it/ocd/persona.rdf/p17730"	"PIO"	"ALESSANDRINI"	"19060127"	"19960317"	"19680527"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/p17730"	"PIO"	"ALESSANDRINI"	"19060127"	"19960317"	"19720513"	"19760704"
"http://dati.camera.it/ocd/persona.rdf/p308320"	"VALERIA"	"ALESSANDRINI"			""	""
"http://dati.camera.it/ocd/persona.rdf/p6350"	"GIUSEPPE"	"ALESSI"	"19051029"	"20090713"	"19630508"	"19680604"
"http://dati.camera.it/ocd/persona.rdf/p301212"	"URBANO"	"ALETTI"			"19760626"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p301074"	"ALFREDO"	"ALFANI"			"19830712"	"19840305"
"http://dati.camera.it/ocd/persona.rdf/pr9034"	"GIOVANNI"	"ALFAZIO"	"18380803"	"19130202"	"19040304"	"19130202"
"http://dati.camera.it/ocd/persona.rdf/p307744"	"ALESSANDRO"	"ALFIERI"			""	""
"http://dati.camera.it/ocd/persona.rdf/pr9035"	"VITTORIO LUIGI"	"ALFIERI"	"18630703"	"19181108"	"19171118"	"19181108"
"http://dati.camera.it/ocd/persona.rdf/pr54"	"CARLO"	"ALFIERI DI SOSTEGNO"	"18270930"	"18971218"	"18701201"	"18971218"
"http://dati.camera.it/ocd/persona.rdf/pr9037"	"CESARE"	"ALFIERI DI SOSTEGNO"	"17990810"	"18690416"	"18480403"	"18690416"
"http://dati.camera.it/ocd/persona.rdf/p302182"	"DANIELA"	"ALFONZI"			"20060418"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/pr9038"	"NICOLA"	"ALIANELLI"	"18090710"	"18860922"	"18760515"	"18860922"
"http://dati.camera.it/ocd/persona.rdf/p303022"	"BRUNO"	"ALICATA"			""	""
"http://dati.camera.it/ocd/persona.rdf/p303022"	"BRUNO"	"ALICATA"			"20080425"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/p14410"	"FRANCESCO "	"ALICI"	"19290809"	"19971121"	"19830712"	"19870701"
"http://dati.camera.it/ocd/persona.rdf/p100"	"GIANFRANCO"	"ALIVERTI"	"19300203"		"19830712"	"19870701"
"http://dati.camera.it/ocd/persona.rdf/p100"	"GIANFRANCO"	"ALIVERTI"	"19300203"		"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p13360"	"LUIGI"	"ALLEGATO"	"18960408"	"19580525"	"19480424"	"19530624"
"http://dati.camera.it/ocd/persona.rdf/p302183"	"LAURA"	"ALLEGRINI"			"20060419"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/p302183"	"LAURA"	"ALLEGRINI"			"20080421"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/pr62"	"ANTONIO"	"ALLIEVI"	"18240228"	"18960529"	"18810612"	"18960529"
"http://dati.camera.it/ocd/persona.rdf/p302184"	"SALVATORE"	"ALLOCCA"			"20060419"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/p200014"	"PIETRO"	"ALO'"			"19940415"	"19960508"
"http://dati.camera.it/ocd/persona.rdf/pr9039"	"POMPEO"	"ALOISI DE LARDEREL"	"18751106"	"19490115"	"19390424"	"19441205"
"http://dati.camera.it/ocd/persona.rdf/p308960"	"VINCENZA"	"ALOISIO"			""	""
"http://dati.camera.it/ocd/persona.rdf/p303282"	"FRANCESCO"	"ALUNNI PIERUCCI"			"19480422"	"19530624"
"http://dati.camera.it/ocd/persona.rdf/pr66"	"GIACOMO GIUSEPPE"	"ALVISI"	"18250328"	"18921124"	"18790316"	"18921124"
"http://dati.camera.it/ocd/persona.rdf/p14440"	"GIOVANNI"	"AMABILE"	"19420809"		"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p190"	"ALDO"	"AMADEO"	"19181014"	"20020509"	"19760705"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p190"	"ALDO"	"AMADEO"	"19181014"	"20020509"	"19790620"	"19830711"
"http://dati.camera.it/ocd/persona.rdf/p25300"	"EZIO"	"AMADEO"	"18940626"	"19780523"	"19530613"	"19580611"
"http://dati.camera.it/ocd/persona.rdf/pr9041"	"ENRICO"	"AMANTE"	"18160104"	"18830916"	"18800215"	"18830916"
"http://dati.camera.it/ocd/persona.rdf/pr9042"	"LUIGI"	"AMANTEA"	"18691130"	"19490409"	"19331030"	""
"http://dati.camera.it/ocd/persona.rdf/pr9043"	"MICHELE"	"AMARI"	"18060708"	"18890716"	"18610120"	"18890716"
"http://dati.camera.it/ocd/persona.rdf/pr9044"	"MICHELE"	"AMARI"	"18050624"	"18770107"	"18610207"	"18770107"
"http://dati.camera.it/ocd/persona.rdf/p302185"	"SILVANA"	"AMATI"			""	""
"http://dati.camera.it/ocd/persona.rdf/p302185"	"SILVANA"	"AMATI"			"20060413"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/p302185"	"SILVANA"	"AMATI"			"20080422"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/p22610"	"GIULIANO"	"AMATO"	"19380513"		"20010515"	"20060427"
"http://dati.camera.it/ocd/persona.rdf/p302280"	"PIETRO PAOLO"	"AMATO"			"20060428"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/p302280"	"PIETRO PAOLO"	"AMATO"			"20080423"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/pr75"	"MICHELE"	"AMATO POJERO"	"18500204"	"19140217"	"18921010"	"19140217"
"http://dati.camera.it/ocd/persona.rdf/p308961"	"PAOLA"	"AMBROGIO"			""	""
"http://dati.camera.it/ocd/persona.rdf/pr9045"	"GIOVANNI ANTONIO"	"AMBROSETTI"	"18110209"	"18730315"	"18491218"	"18730315"
"http://dati.camera.it/ocd/persona.rdf/pr9046"	"GIOVANNI"	"AMEGLIO"	"18541029"	"19211229"	"19170223"	"19211229"
"http://dati.camera.it/ocd/persona.rdf/pr9047"	"MARCELLO"	"AMERO D'ASTE STELLA"	"18530401"	"19310917"	"19141230"	"19310917"
"http://dati.camera.it/ocd/persona.rdf/p306760"	"BARTOLOMEO"	"AMIDEI"			""	""
"http://dati.camera.it/ocd/persona.rdf/p300818"	"PIETRO"	"AMIGONI"			"19530613"	"19580611"
"http://dati.camera.it/ocd/persona.rdf/p300818"	"PIETRO"	"AMIGONI"			"19580601"	"19630515"
"http://dati.camera.it/ocd/persona.rdf/p300818"	"PIETRO"	"AMIGONI"			"19630505"	"19630828"
"http://dati.camera.it/ocd/persona.rdf/p303941"	"BRUNO"	"AMOLETTI"			"19630505"	"19640310"
"http://dati.camera.it/ocd/persona.rdf/pr83"	"NICOLA"	"AMORE"	"18280418"	"18941010"	"18841126"	"18941010"
"http://dati.camera.it/ocd/persona.rdf/p200015"	"MICHELE"	"AMORENA"			"19960424"	"19990216"
"http://dati.camera.it/ocd/persona.rdf/p35040"	"FRANCESCO MARIA"	"AMORUSO"	"19560801"		""	""
"http://dati.camera.it/ocd/persona.rdf/p35040"	"FRANCESCO MARIA"	"AMORUSO"	"19560801"		"20080423"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/p307745"	"CRISTIANO"	"ANASTASI"			""	""
"http://dati.camera.it/ocd/persona.rdf/pr86"	"UGO"	"ANCONA"	"18670226"	"19360608"	"19230301"	"19360608"
"http://dati.camera.it/ocd/persona.rdf/p308962"	"RENATO"	"ANCOROTTI"			""	""
"http://dati.camera.it/ocd/persona.rdf/p220"	"LUIGI SILVESTRO"	"ANDERLINI"	"19210922"	"20010326"	"19680525"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/p220"	"LUIGI SILVESTRO"	"ANDERLINI"	"19210922"	"20010326"	"19760705"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p220"	"LUIGI SILVESTRO"	"ANDERLINI"	"19210922"	"20010326"	"19790620"	"19830711"
"http://dati.camera.it/ocd/persona.rdf/p220"	"LUIGI SILVESTRO"	"ANDERLINI"	"19210922"	"20010326"	"19830712"	"19870701"
"http://dati.camera.it/ocd/persona.rdf/p301315"	"ANTONIO"	"ANDO'"			"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p300986"	"OSCAR"	"ANDO'"			"19680528"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/p300986"	"OSCAR"	"ANDO'"			"19760630"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p22620"	"BENIAMINO"	"ANDREATTA"	"19280811"	"20070326"	"19760705"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p22620"	"BENIAMINO"	"ANDREATTA"	"19280811"	"20070326"	"19790620"	"19830711"
"http://dati.camera.it/ocd/persona.rdf/p22620"	"BENIAMINO"	"ANDREATTA"	"19280811"	"20070326"	"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p200016"	"ELIOS"	"ANDREINI"			"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p200016"	"ELIOS"	"ANDREINI"			"19920405"	"19940414"
"http://dati.camera.it/ocd/persona.rdf/p200017"	"REMO"	"ANDREOLI"			"19940415"	"19960508"
"http://dati.camera.it/ocd/persona.rdf/p200018"	"TARCISIO"	"ANDREOLLI"			"19960423"	"20010529"
"http://dati.camera.it/ocd/persona.rdf/pr9048"	"ANTONIO"	"ANDREONI"	"18660923"	"19480523"	"19330921"	"19450929"
"http://dati.camera.it/ocd/persona.rdf/p200021"	"GIULIO"	"ANDREOTTI"	"19190114"	"20130506"	"19910601"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p200021"	"GIULIO"	"ANDREOTTI"	"19190114"	"20130506"	"19920423"	"19940414"
"http://dati.camera.it/ocd/persona.rdf/p200021"	"GIULIO"	"ANDREOTTI"	"19190114"	"20130506"	"19940415"	"19960508"
"http://dati.camera.it/ocd/persona.rdf/p200021"	"GIULIO"	"ANDREOTTI"	"19190114"	"20130506"	"19960509"	"20010529"
"http://dati.camera.it/ocd/persona.rdf/p200021"	"GIULIO"	"ANDREOTTI"	"19190114"	"20130506"	"20010530"	"20060427"
"http://dati.camera.it/ocd/persona.rdf/p200021"	"GIULIO"	"ANDREOTTI"	"19190114"	"20130506"	"20060428"	"20080428"
"http://dati.camera.it/ocd/persona.rdf/p200021"	"GIULIO"	"ANDREOTTI"	"19190114"	"20130506"	"20080429"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/p200021"	"GIULIO"	"ANDREOTTI"	"19190114"	"20130506"	"20130315"	"20130506"
"http://dati.camera.it/ocd/persona.rdf/pr89"	"FERDINANDO"	"ANDREUCCI"	"18060115"	"18880211"	"18711115"	"18980211"
"http://dati.camera.it/ocd/persona.rdf/p303023"	"ALFONSO"	"ANDRIA"			"20080424"	"20130314"
"http://dati.camera.it/ocd/persona.rdf/p301075"	"ANTONIO SILVANO"	"ANDRIANI"			"19830712"	"19870701"
"http://dati.camera.it/ocd/persona.rdf/p301075"	"ANTONIO SILVANO"	"ANDRIANI"			"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p200022"	"EZIO"	"ANESI"			"19920405"	"19931109"
"http://dati.camera.it/ocd/persona.rdf/p300787"	"GIOVANNI SECONDO"	"ANFOSSI"			"19480508"	"19530624"
"http://dati.camera.it/ocd/persona.rdf/p300901"	"UGO"	"ANGELILLI"			"19530611"	"19580611"
