source_pdf,source_page_1based,ramo,legislatura
/media/16TB/parlamento/pdf-resoconti/22d274ead0ddd60e00bb02cd9cc48ce2.pdf,27,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/9c9eceb0abeda3a097260904e768290a.pdf,17,camera,regno_04
/media/16TB/parlamento/pdf-resoconti/422740.pdf,31,senato,regno_20
/media/16TB/parlamento/pdf-resoconti/424164.pdf,7,senato,regno_30
/media/16TB/parlamento/pdf-resoconti/419986.pdf,19,senato,regno_20
/media/16TB/parlamento/pdf-resoconti/764136ff4656554f505cabe42290c92c.pdf,14,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/0a1b46a6a70ebbe49fb57878d426e865.pdf,14,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/5e6e16fa7efd7cca668942bbf2465d2a.pdf,160,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/423224.pdf,37,senato,regno_28
/media/16TB/parlamento/pdf-resoconti/424971.pdf,26,senato,regno_16
/media/16TB/parlamento/pdf-resoconti/423673.pdf,20,senato,regno_27
/media/16TB/parlamento/pdf-resoconti/355982.pdf,14,senato,regno_08
/media/16TB/parlamento/pdf-resoconti/97f52e96d54e1ce40f640aefee8c362a.pdf,17,camera,regno_10
/media/16TB/parlamento/pdf-resoconti/c6817d476ac175caf9d15274759cfbea.pdf,44,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/4cc1d7c1191b2417f0afa0de86094e60.pdf,29,camera,regno_26
/media/16TB/parlamento/pdf-resoconti/9b912c326f7045c9b86b05bb419552e2.pdf,9,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/fa64d635f27d2876003d91e27049607c.pdf,41,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/56785a1348cf6f0376e110726b774d22.pdf,19,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/b93b9fbff574e99abbcf43bc3a3bebf8.pdf,8,camera,regno_26
/media/16TB/parlamento/pdf-resoconti/421613.pdf,16,senato,regno_15
/media/16TB/parlamento/pdf-resoconti/d89ea28f6703ac8bb001979f71f5cd02.pdf,18,camera,regno_12
/media/16TB/parlamento/pdf-resoconti/423906.pdf,2,senato,regno_25
/media/16TB/parlamento/pdf-resoconti/423624.pdf,17,senato,regno_26
/media/16TB/parlamento/pdf-resoconti/16f9db5fa95b71c236cf146482333400.pdf,5,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/1914a2ebfcddca6f0a479a471d8e66eb.pdf,35,camera,regno_15
/media/16TB/parlamento/pdf-resoconti/a847a381a3c2204b1c83ad5a9e2fc654.pdf,13,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/419865.pdf,5,senato,regno_16
/media/16TB/parlamento/pdf-resoconti/8cbffc0d26e83556b0ad755875e3c226.pdf,3,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/d0bd186b6d1f5ec9e5153dcd276b9cd7.pdf,21,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/7c9d9a2287922c7aeff2e68b7a8c1005.pdf,8,camera,regno_27
/media/16TB/parlamento/pdf-resoconti/1925c4f4edf60327e94c21d228ad7270.pdf,3,camera,consulta_nazionale
/media/16TB/parlamento/pdf-resoconti/b0c9f2d49b3289b80cd8d4ac8eb5de23.pdf,42,camera,regno_25
/media/16TB/parlamento/pdf-resoconti/57fb8f6399af0bba7a92c884b220e86c.pdf,9,camera,regno_10
/media/16TB/parlamento/pdf-resoconti/e1ba8c4d729d7c2fad9bbf6f487cc56a.pdf,14,camera,regno_18
/media/16TB/parlamento/pdf-resoconti/425344.pdf,34,senato,regno_26
/media/16TB/parlamento/pdf-resoconti/446079c797a1e19bf92471f6361c63b8.pdf,51,camera,regno_25
/media/16TB/parlamento/pdf-resoconti/6858cfff51e6fcb95b87b1ed1859c8ef.pdf,12,camera,regno_11
/media/16TB/parlamento/pdf-resoconti/9b11dc1482819f13e7d82d27958d4040.pdf,22,camera,regno_16
/media/16TB/parlamento/pdf-resoconti/420429.pdf,1,senato,regno_22
/media/16TB/parlamento/pdf-resoconti/e57a74702915f0eba0cfd825247d3fda.pdf,39,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/c6a119309cfec8b7e7d969d3840fec07.pdf,54,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/423800.pdf,20,senato,regno_11
/media/16TB/parlamento/pdf-resoconti/83ff6cfa8bf9346a76b1ae8522eca63b.pdf,13,camera,regno_04
/media/16TB/parlamento/pdf-resoconti/380191.pdf,2,senato,regno_13
/media/16TB/parlamento/pdf-resoconti/7496ae13275b4d013e53fc2dd838780f.pdf,4,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/356949.pdf,19,senato,regno_24
/media/16TB/parlamento/pdf-resoconti/4ec83ae3b7f2642e3ae233e1cc980964.pdf,14,camera,regno_14
/media/16TB/parlamento/pdf-resoconti/10cec617ae4539a56d6a78526160e54d.pdf,33,camera,regno_15
/media/16TB/parlamento/pdf-resoconti/19ec96ad8cee4543368730464b5bee96.pdf,18,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/96f92509331fc84449d81efc8cfd1ea4.pdf,19,camera,regno_18
/media/16TB/parlamento/pdf-resoconti/90d802c9d2cec62c8335e1728f86d88a.pdf,65,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/6e5c59cbed9cbbfb8ecc805147114ac6.pdf,20,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/f81042858febb23239f8f8a42ca63425.pdf,10,camera,regno_05
/media/16TB/parlamento/pdf-resoconti/425175.pdf,18,senato,regno_22
/media/16TB/parlamento/pdf-resoconti/81d20616f6dd8c31b4b9730e75c2dff4.pdf,48,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/40073a9c61a886f1043e1293ca8a9f84.pdf,19,camera,regno_16
/media/16TB/parlamento/pdf-resoconti/78964f9035164eef859e4f852664edc1.pdf,14,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/374902.pdf,5,senato,regno_11
/media/16TB/parlamento/pdf-resoconti/bc8317cf43ec2dd752aa17636e141b36.pdf,35,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/e010a5ae43352abacb00b4b41f5f529d.pdf,10,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/7e7d4995815ad65368e3fa33a253a6d3.pdf,51,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/93fa3178a56b7c11b4dbcb86f0df2f07.pdf,7,camera,regno_12
/media/16TB/parlamento/pdf-resoconti/425282.pdf,33,senato,regno_23
/media/16TB/parlamento/pdf-resoconti/419915.pdf,29,senato,regno_19
/media/16TB/parlamento/pdf-resoconti/5302308ad1ead6767a1d3eb834ec32e6.pdf,22,camera,regno_10
